Ingredient_Name,canonical_group_id,Primary_Function,Ingredient_Category,Origin,Regulatory_Status,Safety_Level_true,Safety_Level_pred,Safety_Level_correct,Safety_Level_confidence,Allergy_Risk_true,Allergy_Risk_pred,Allergy_Risk_correct,Allergy_Risk_confidence,Irritation_Risk_true,Irritation_Risk_pred,Irritation_Risk_correct,Irritation_Risk_confidence
Equisetum Arvense Extract (Horsetail),Equisetum Arvense Extract (Horsetail),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9997751294086253,Low,Low,True,0.9953536098247266,No Risk,No Risk,True,0.997086527916732
Arctium Lappa Root Extract (Burdock Root),Arctium Lappa Root Extract (Burdock Root),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9998548008641069,Low,Low,True,0.5533985937312877,No Risk,Medium,False,0.6189458930169609
Symphytum Officinale Extract (Comfrey),Symphytum Officinale Extract (Comfrey),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9996538968683777,Low,Low,True,0.981620827543004,No Risk,No Risk,True,0.9975273071765817
Achillea Millefolium Extract (Yarrow),Achillea Millefolium Extract (Yarrow),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9968200969552236,Low,Low,True,0.9903000200376832,No Risk,No Risk,True,0.9892541727300206
Althaea Officinalis Root Extract (Marshmallow Root),Althaea Officinalis Root Extract (Marshmallow Root),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9978372282444188,Low,Low,True,0.9827839166658693,No Risk,No Risk,True,0.9986564452407747
Sambucus Nigra Flower Extract (Elderflower),Sambucus Nigra Flower Extract (Elderflower),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9992065339430023,Low,Low,True,0.9864236555932869,No Risk,No Risk,True,0.9912971213187818
Centaurea Cyanus Flower Extract (Cornflower),Centaurea Cyanus Flower Extract (Cornflower),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9995423580784603,Low,Low,True,0.9672885053431676,No Risk,No Risk,True,0.9941626178791593
Rosmarinus Officinalis Leaf Extract (Rosemary),Rosmarinus Officinalis Leaf Extract (Rosemary),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9995695274133748,Low,Medium,False,0.5570862547186368,No Risk,No Risk,True,0.8910093925302027
Salvia Officinalis Leaf Extract (Sage),Salvia Officinalis Leaf Extract (Sage),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9961891668789148,Low,Low,True,0.990778182703244,No Risk,No Risk,True,0.9179739057261621
Mentha Piperita Leaf Extract (Peppermint),Mentha Piperita Leaf Extract (Peppermint),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9988426659175021,Medium,Low,False,0.9924688911362428,Medium,No Risk,False,0.9857376401560124
Mentha Viridis Leaf Extract (Spearmint),Mentha Viridis Leaf Extract (Spearmint),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9940643270483602,Low,Low,True,0.6425195205839217,No Risk,No Risk,True,0.7070945795940047
Thymus Vulgaris Extract (Thyme),Thymus Vulgaris Extract (Thyme),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9988272972035576,Medium,Low,False,0.9950053215459794,Medium,No Risk,False,0.9838019986192947
Lavandula Angustifolia Extract (Lavender),Lavandula Angustifolia Extract (Lavender),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9961084444253269,Low,Low,True,0.6219271488671969,No Risk,No Risk,True,0.9909310645653631
Humulus Lupulus Extract (Hops),Humulus Lupulus Extract (Hops),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9997157882829083,Low,Low,True,0.9864801595760181,No Risk,No Risk,True,0.9878059565609921
Urtica Dioica Extract (Nettle),Urtica Dioica Extract (Nettle),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9998237065756598,Low,Low,True,0.9743750161693725,No Risk,No Risk,True,0.9115681147430119
Taraxacum Officinale Extract (Dandelion),Taraxacum Officinale Extract (Dandelion),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9997025387366109,Low,Low,True,0.9806958635199474,No Risk,No Risk,True,0.9944782160393262
Plantago Major Extract (Plantain),Plantago Major Extract (Plantain),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9985674710231374,Low,Low,True,0.993550157966843,No Risk,No Risk,True,0.9934088716104215
Nasturtium Officinale Extract (Watercress),Nasturtium Officinale Extract (Watercress),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9995277766856633,Low,Low,True,0.9976947850618021,No Risk,No Risk,True,0.9951474286133901
Spinacia Oleracea Extract (Spinach),Spinacia Oleracea Extract (Spinach),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9995605101835627,Low,Low,True,0.9961401995348557,No Risk,No Risk,True,0.9968470671403139
Daucus Carota Sativa Extract (Carrot),Daucus Carota Sativa Extract (Carrot),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9998224332507398,Low,Low,True,0.9991511436185813,No Risk,No Risk,True,0.9931468059505493
Beta Vulgaris Root Extract (Beetroot),Beta Vulgaris Root Extract (Beetroot),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9984673236866511,Low,Low,True,0.9919815541118548,No Risk,No Risk,True,0.9594100278911181
Solanum Lycopersicum Fruit Extract (Tomato),Solanum Lycopersicum Fruit Extract (Tomato),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9992063038563147,Low,Low,True,0.9990225435673943,No Risk,No Risk,True,0.9974570473475745
Ananas Sativus Fruit Extract (Pineapple),Ananas Sativus Fruit Extract (Pineapple),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9996144772321944,Low,Low,True,0.879107963082954,No Risk,No Risk,True,0.9544574301678481
Actinidia Chinensis Fruit Extract (Kiwi),Actinidia Chinensis Fruit Extract (Kiwi),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9973619364073925,Low,Low,True,0.9984012046643977,No Risk,No Risk,True,0.9929661881014551
Citrus Sinensis Fruit Extract (Orange Fruit),Citrus Sinensis Fruit Extract (Orange Fruit),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9975713051745047,Low,Low,True,0.996588683083838,No Risk,No Risk,True,0.7801669822244229
Cocos Nucifera Fruit Juice (Coconut Water),Cocos Nucifera Fruit Juice (Coconut Water),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9998951399293684,Low,Low,True,0.9897048973489584,No Risk,No Risk,True,0.9938181544197509
Oryza Sativa Extract (Rice Extract),Oryza Sativa Extract (Rice Extract),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9984267603645407,Low,Low,True,0.9986239350289245,No Risk,No Risk,True,0.9917293627259939
Hordeum Vulgare Extract (Barley),Hordeum Vulgare Extract (Barley),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.999663114023397,Low,Low,True,0.9928446334884086,No Risk,No Risk,True,0.9902916410183829
Chenopodium Quinoa Seed Extract (Quinoa),Chenopodium Quinoa Seed Extract (Quinoa),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9995195278672538,Low,Low,True,0.9896466893003073,No Risk,No Risk,True,0.9818244685177617
Helianthus Annuus Seed Extract (Sunflower Seed),Helianthus Annuus Seed Extract (Sunflower Seed),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9986970469302333,Low,Low,True,0.9976140894201887,No Risk,No Risk,True,0.9961339692398284
Sesamum Indicum Seed Extract (Sesame Seed),Sesamum Indicum Seed Extract (Sesame Seed),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9978294423110543,Low,Low,True,0.9946434091398851,No Risk,No Risk,True,0.9854084706587873
Tinospora Cordifolia Extract (Guduchi),Tinospora Cordifolia Extract (Guduchi),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9986681141519177,Low,Low,True,0.9932046085121101,No Risk,No Risk,True,0.9924422694937187
Vetiveria Zizanoides Root Extract (Vetiver),Vetiveria Zizanoides Root Extract (Vetiver),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.997158196458518,Low,Low,True,0.9869931246030318,No Risk,No Risk,True,0.8661634112762235
Symplocos Racemosa Extract (Lodhra),Symplocos Racemosa Extract (Lodhra),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9994478072244608,Low,Low,True,0.9983285385988832,No Risk,No Risk,True,0.9892280465507247
Rubia Cordifolia Root Extract (Manjistha),Rubia Cordifolia Root Extract (Manjistha),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9985889491640569,Low,Low,True,0.9983980417362788,No Risk,No Risk,True,0.9939690288714004
Berberis Aristata Extract (Daruharidra),Berberis Aristata Extract (Daruharidra),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9990336062808645,Low,Low,True,0.9524866158525113,No Risk,No Risk,True,0.6539170345998597
Cyperus Rotundus Extract (Nagarmotha),Cyperus Rotundus Extract (Nagarmotha),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9992929872768102,Low,Low,True,0.999282271936351,No Risk,No Risk,True,0.9962948048000219
Nardostachys Jatamansi Extract,Nardostachys Jatamansi Extract,Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9997012216079277,Low,Low,True,0.7324385030674223,No Risk,No Risk,True,0.8908629085264311
Sapindus Mukorossi Fruit Extract (Reetha/Soapnut),Sapindus Mukorossi Fruit Extract (Reetha/Soapnut),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.997094161213622,Low,Low,True,0.966152334267686,No Risk,No Risk,True,0.9667740614392161
Acacia Concinna Fruit Extract (Shikakai),Acacia Concinna Fruit Extract (Shikakai),Botanical Extract,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9989775397196692,Low,Low,True,0.9343962957944645,No Risk,No Risk,True,0.9117983717899144
Lawsonia Inermis Leaf Powder (Henna),Lawsonia Inermis Leaf Powder (Henna),Colorant,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9827828947975081,Medium,Low,False,0.4511483989838032,Low,No Risk,False,0.607218540605536
Indigofera Tinctoria Leaf Powder (Indigo Powder),Indigofera Tinctoria Leaf Powder (Indigo Powder),Colorant,Botanical Extract,Natural,Approved,Safe,Safe,True,0.9914002641035308,Medium,Medium,True,0.5791691155368991,Low,No Risk,False,0.579625672318603
Melaleuca Alternifolia Leaf Oil (Tea Tree Oil),Melaleuca Alternifolia Leaf Oil (Tea Tree Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9995150159853761,Medium,Medium,True,0.9996317667417473,Medium,Medium,True,0.991647121685491
Cedrus Atlantica Bark Oil (Cedarwood Oil),Cedrus Atlantica Bark Oil (Cedarwood Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9920037414547718,Medium,Medium,True,0.9989443823073816,Medium,Medium,True,0.9995012476837136
Lavandula Angustifolia Oil (Lavender Oil),Lavandula Angustifolia Oil (Lavender Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9972875795037012,Medium,Medium,True,0.9820706520836598,Medium,Medium,True,0.999001584169064
Mentha Piperita Oil (Peppermint Oil),Mentha Piperita Oil (Peppermint Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9995247601524688,Medium,Medium,True,0.8268812603914075,Medium,Medium,True,0.9995090477651358
Rosmarinus Officinalis Leaf Oil (Rosemary Oil),Rosmarinus Officinalis Leaf Oil (Rosemary Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9664403782812149,Medium,Medium,True,0.9959198727507758,Medium,Medium,True,0.9957222117830637
Cymbopogon Schoenanthus Oil (Lemongrass Oil),Cymbopogon Schoenanthus Oil (Lemongrass Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9982385715703447,Medium,Medium,True,0.9997022549825032,Medium,Medium,True,0.9984605097291632
Eucalyptus Globulus Leaf Oil (Eucalyptus Oil),Eucalyptus Globulus Leaf Oil (Eucalyptus Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9968285784718344,Medium,Medium,True,0.9847281039891718,Medium,Medium,True,0.9959815450928602
Salvia Sclarea Oil (Clary Sage Oil),Salvia Sclarea Oil (Clary Sage Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9939594599165524,Medium,Medium,True,0.9959208808073964,Medium,Medium,True,0.9963595173866749
Cananga Odorata Flower Oil (Ylang Ylang Oil),Cananga Odorata Flower Oil (Ylang Ylang Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9971123721975466,Medium,Medium,True,0.9984136997770825,Medium,Medium,True,0.9985572142396373
Pelargonium Graveolens Oil (Geranium Oil),Pelargonium Graveolens Oil (Geranium Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9939526629320405,Medium,Medium,True,0.9978498955323946,Medium,Medium,True,0.9929669294478142
Citrus Aurantium Bergamia Peel Oil (Bergamot Oil),Citrus Aurantium Bergamia Peel Oil (Bergamot Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9988073654814589,Medium,Medium,True,0.9931705301215107,Medium,Medium,True,0.9958554155424219
Boswellia Carterii Oil (Frankincense Oil),Boswellia Carterii Oil (Frankincense Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9910202730948648,Medium,Medium,True,0.9666858613825836,Medium,Medium,True,0.9936894637674794
Pogostemon Cablin Oil (Patchouli Oil),Pogostemon Cablin Oil (Patchouli Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9968200935866633,Medium,Medium,True,0.9975397131245044,Medium,Medium,True,0.9992224098563318
Santalum Album Oil (Sandalwood Oil),Santalum Album Oil (Sandalwood Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9924312068196972,Medium,Medium,True,0.9991596645989677,Medium,Medium,True,0.990217901270134
Jasminum Officinale Oil (Jasmine Oil),Jasminum Officinale Oil (Jasmine Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9945364982040729,Medium,Medium,True,0.9963936124357083,Medium,Medium,True,0.9992753329364428
Rosa Damascena Oil (Rose Oil),Rosa Damascena Oil (Rose Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9964133389952903,Medium,Medium,True,0.9931009421670891,Medium,Medium,True,0.9965757178847151
Anthemis Nobilis Flower Oil (Chamomile Oil),Anthemis Nobilis Flower Oil (Chamomile Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9718469925121199,Medium,Medium,True,0.9995082410824445,Medium,Medium,True,0.992919515061474
Ocimum Basilicum Oil (Basil Oil),Ocimum Basilicum Oil (Basil Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9954689669743852,Medium,Medium,True,0.9974568275194037,Medium,Medium,True,0.9963916999936062
Cinnamomum Zeylanicum Bark Oil (Cinnamon Bark Oil),Cinnamomum Zeylanicum Bark Oil (Cinnamon Bark Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9994568198989439,Medium,Medium,True,0.9974382129527465,Medium,Medium,True,0.9800436970446531
Syzygium Aromaticum Bud Oil (Clove Bud Oil),Syzygium Aromaticum Bud Oil (Clove Bud Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9995786358365806,Medium,Medium,True,0.9991404307765209,Medium,Medium,True,0.9979717913008
Gaultheria Procumbens Oil (Wintergreen Oil),Gaultheria Procumbens Oil (Wintergreen Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9985968971880758,Medium,Medium,True,0.993819019885344,Medium,Medium,True,0.9593532222704826
Citrus Paradisi Peel Oil (Grapefruit Peel Oil),Citrus Paradisi Peel Oil (Grapefruit Peel Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9971290371532833,Medium,Medium,True,0.9921807800182051,Medium,Medium,True,0.995874023964969
Citrus Aurantifolia Oil (Lime Oil),Citrus Aurantifolia Oil (Lime Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9940162679396318,Medium,Medium,True,0.9995577892293664,Medium,Medium,True,0.997130209975304
Melaleuca Cajuputi Oil (Cajeput Oil),Melaleuca Cajuputi Oil (Cajeput Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9921932193775267,Medium,Medium,True,0.99830018707033,Medium,Medium,True,0.9980721510316459
Cinnamomum Camphora Oil (Camphor Oil),Cinnamomum Camphora Oil (Camphor Oil),Fragrance/Essential Oil,Essential Oil,Natural,Restricted,Moderate Risk,Moderate Risk,True,0.9958317185605297,Medium,Medium,True,0.996035826334498,Medium,Medium,True,0.9936391036132081
Cetyl Ethylhexanoate,Cetyl Ethylhexanoate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9998264484393654,Low,Low,True,0.9825871107150382,No Risk,No Risk,True,0.9207050385654197
Cetyl Palmitate,Cetyl Palmitate,Emollient,Wax Ester,Naturally Derived,Approved,Safe,Safe,True,0.9926067911916936,Low,Low,True,0.9955134848873926,No Risk,No Risk,True,0.995377314594574
Isopropyl Isostearate,Isopropyl Isostearate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9965948447255203,Low,Low,True,0.9972881959607817,No Risk,No Risk,True,0.8629590050647435
Octyldodecyl Stearoyl Stearate,Octyldodecyl Stearoyl Stearate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9982092271558518,Low,Low,True,0.9994754681358217,No Risk,No Risk,True,0.9310200453680344
Pentaerythrityl Tetraisostearate,Pentaerythrityl Tetraisostearate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9989854934977056,Low,Low,True,0.9920007478864689,No Risk,No Risk,True,0.9581093770826951
Neopentyl Glycol Diheptanoate,Neopentyl Glycol Diheptanoate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9998577502836915,Low,Low,True,0.9325988280103186,No Risk,No Risk,True,0.9267186429316767
Coco-Caprylate,Coco-Caprylate,Emollient,Emollient,Naturally Derived,Approved,Safe,Safe,True,0.998806832588881,Low,Low,True,0.9870061972763303,No Risk,No Risk,True,0.9967766224395156
Ethylhexyl Stearate,Ethylhexyl Stearate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.999822887138904,Low,Low,True,0.9992056163194022,No Risk,No Risk,True,0.9978452315905473
Myristyl Myristate,Myristyl Myristate,Emollient,Wax Ester,Synthetic,Approved,Safe,Safe,True,0.9900895837460674,Low,Low,True,0.9586371643543876,No Risk,No Risk,True,0.9191123344624362
Decyl Oleate,Decyl Oleate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.999372896729592,Low,Low,True,0.997147764883541,No Risk,No Risk,True,0.9876822591890279
Propylene Glycol Dicaprylate/Dicaprate,Propylene Glycol Dicaprylate/Dicaprate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9996307132587628,Low,Low,True,0.9938788635637306,No Risk,No Risk,True,0.93760770350177
Behentrimonium Chloride,Behentrimonium Chloride,Conditioning Agent,Quaternary Ammonium,Synthetic,Approved,Safe,Safe,True,0.9967434548672864,Low,Low,True,0.9984255826735714,Low,Low,True,0.937956770119431
Cetrimonium Chloride,Cetrimonium Chloride,Conditioning Agent,Quaternary Ammonium,Synthetic,Approved,Safe,Safe,True,0.9751257455557842,Low,Low,True,0.9906280255655349,Low,Low,True,0.9758508139347045
Stearalkonium Chloride,Stearalkonium Chloride,Conditioning Agent,Quaternary Ammonium,Synthetic,Approved,Safe,Safe,True,0.9639497357452337,Low,Low,True,0.9988355383813396,Low,Low,True,0.6725822057481298
Quaternium-18,Quaternium-18,Conditioning Agent,Quaternary Ammonium,Synthetic,Approved,Safe,Safe,True,0.9995747703974247,Low,Low,True,0.9994939357005062,Low,Low,True,0.956328598179699
Quaternium-80,Quaternium-80,Conditioning Agent,Quaternary Ammonium,Synthetic,Approved,Safe,Safe,True,0.9920878593095367,Low,Low,True,0.9998486323636748,Low,No Risk,False,0.5038699098705963
Polyquaternium-6,Polyquaternium-6,Film Former,Polymer,Synthetic,Approved,Safe,Safe,True,0.9917071217740617,Low,Low,True,0.9920202156632182,No Risk,No Risk,True,0.9514138279800575
Polyquaternium-37,Polyquaternium-37,Film Former,Polymer,Synthetic,Approved,Safe,Safe,True,0.9866928263967076,Low,Low,True,0.9756744599877292,No Risk,No Risk,True,0.9784939096511374
Guar Hydroxypropyltrimonium Chloride,Guar Hydroxypropyltrimonium Chloride,Conditioning Agent,Polymer,Naturally Derived,Approved,Safe,Safe,True,0.8689892430014755,Low,Low,True,0.9958954403067308,No Risk,No Risk,True,0.9953107607587278
Hydroxypropyltrimonium Honey,Hydroxypropyltrimonium Honey,Conditioning Agent,Humectant,Naturally Derived,Approved,Safe,Safe,True,0.8910941240056321,Low,Low,True,0.9886601603993459,No Risk,No Risk,True,0.7764961741902388
Hydrolyzed Quinoa,Hydrolyzed Quinoa,Conditioning Agent,Protein,Naturally Derived,Approved,Safe,Safe,True,0.9968185795844561,Low,Low,True,0.9994722685176994,No Risk,No Risk,True,0.996502020852958
Palmitoyl Pentapeptide-4 (Matrixyl),Palmitoyl Pentapeptide-4 (Matrixyl),Anti-Aging Agent,Peptide,Biotechnology Derived,Approved,Safe,Safe,True,0.9662219287404581,Low,Low,True,0.9897781986559087,No Risk,No Risk,True,0.9719664778181829
Palmitoyl Tripeptide-1,Palmitoyl Tripeptide-1,Anti-Aging Agent,Peptide,Biotechnology Derived,Approved,Safe,Safe,True,0.9733759250273788,Low,Low,True,0.9933459090072451,No Risk,No Risk,True,0.9713070935757531
Palmitoyl Tripeptide-5,Palmitoyl Tripeptide-5,Anti-Aging Agent,Peptide,Biotechnology Derived,Approved,Safe,Safe,True,0.9041115242890686,Low,Low,True,0.9883155654082176,No Risk,No Risk,True,0.831062650092228
Acetyl Hexapeptide-8 (Argireline),Acetyl Hexapeptide-8 (Argireline),Anti-Aging Agent,Peptide,Biotechnology Derived,Approved,Safe,Safe,True,0.9753310002833291,Low,Low,True,0.9898702313095615,No Risk,No Risk,True,0.9665676698207409
Copper Tripeptide-1,Copper Tripeptide-1,Anti-Aging Agent,Peptide,Biotechnology Derived,Approved,Safe,Safe,True,0.9311745272659976,Low,Low,True,0.9990874643052208,No Risk,No Risk,True,0.9455865603129087
Hydrolyzed Wheat Protein,Hydrolyzed Wheat Protein,Conditioning Agent,Protein,Naturally Derived,Approved,Safe,Safe,True,0.9986034132345142,Low,Low,True,0.9996562705936539,No Risk,No Risk,True,0.9972132644340963
Hydrolyzed Silk Protein,Hydrolyzed Silk Protein,Conditioning Agent,Protein,Animal Derived,Approved,Safe,Safe,True,0.9995010766841793,Low,Low,True,0.9982985805451065,No Risk,No Risk,True,0.9681448963096432
Hydrolyzed Keratin,Hydrolyzed Keratin,Conditioning Agent,Protein,Animal Derived,Approved,Safe,Safe,True,0.9992580628586838,Low,Low,True,0.9908065003210578,No Risk,No Risk,True,0.9965568915333022
Hydrolyzed Collagen,Hydrolyzed Collagen,Conditioning Agent,Protein,Animal Derived,Approved,Safe,Safe,True,0.9999506041051983,Low,Low,True,0.9959544259540685,No Risk,No Risk,True,0.9994779506288242
Hydrolyzed Rice Protein,Hydrolyzed Rice Protein,Conditioning Agent,Protein,Naturally Derived,Approved,Safe,Safe,True,0.9957140417416774,Low,Low,True,0.9996484554860533,No Risk,No Risk,True,0.996203012084522
Hydrolyzed Soy Protein,Hydrolyzed Soy Protein,Conditioning Agent,Protein,Naturally Derived,Approved,Safe,Safe,True,0.9952606679363314,Low,Low,True,0.9995005997067853,No Risk,No Risk,True,0.9986104181429588
Hydrolyzed Oat Protein,Hydrolyzed Oat Protein,Conditioning Agent,Protein,Naturally Derived,Approved,Safe,Safe,True,0.9783931596929952,Low,Low,True,0.9953188231835624,No Risk,No Risk,True,0.9791718512614653
Hydrolyzed Milk Protein,Hydrolyzed Milk Protein,Conditioning Agent,Protein,Animal Derived,Approved,Safe,Safe,True,0.9966860316232509,Low,Low,True,0.9926610957619015,No Risk,No Risk,True,0.8308881448736795
Tocopherol (Vitamin E),Tocopherol (Vitamin E),Antioxidant,Vitamin,Naturally Derived,Approved,Very Safe,Very Safe,True,0.8954591078600315,Low,Low,True,0.9704265473426649,No Risk,No Risk,True,0.754217147641341
Tocopheryl Acetate,Tocopheryl Acetate,Antioxidant,Vitamin,Synthetic,Approved,Safe,Safe,True,0.8405749476257652,Low,Low,True,0.9774608023273669,No Risk,Low,False,0.7539670434441762
Retinol,Retinol,Anti-Aging Agent,Vitamin,Synthetic,Approved,Moderate Risk,Safe,False,0.8502449066029083,Medium,Low,False,0.9938560208494539,High,No Risk,False,0.6354220449181744
Retinyl Palmitate,Retinyl Palmitate,Anti-Aging Agent,Vitamin,Synthetic,Approved,Safe,Safe,True,0.6839668681647424,Low,Low,True,0.9916155890519117,Medium,High,False,0.722119076284102
Retinaldehyde,Retinaldehyde,Anti-Aging Agent,Vitamin,Synthetic,Approved,Moderate Risk,Safe,False,0.4990996133867938,Medium,Low,False,0.9890303015420191,High,Medium,False,0.5334261905809096
Ascorbic Acid (Vitamin C),Ascorbic Acid (Vitamin C),Antioxidant,Vitamin,Synthetic,Approved,Safe,Safe,True,0.9284343262630663,Low,Low,True,0.9964770051549187,Medium,Low,False,0.8364896078639436
Ascorbyl Glucoside,Ascorbyl Glucoside,Antioxidant,Vitamin,Biotechnology Derived,Approved,Safe,Safe,True,0.7611835545504819,Low,Low,True,0.8858890623328632,Low,Low,True,0.749165762858492
Sodium Ascorbyl Phosphate,Sodium Ascorbyl Phosphate,Antioxidant,Vitamin,Synthetic,Approved,Safe,Safe,True,0.9832145007855723,Low,Low,True,0.8423585253238881,Low,Low,True,0.9346636563215984
Magnesium Ascorbyl Phosphate,Magnesium Ascorbyl Phosphate,Antioxidant,Vitamin,Synthetic,Approved,Safe,Safe,True,0.9832579161383767,Low,Low,True,0.8508234147948637,Low,Low,True,0.8450639552941406
Ascorbyl Palmitate,Ascorbyl Palmitate,Antioxidant,Vitamin,Synthetic,Approved,Safe,Safe,True,0.9952664278895984,Low,Low,True,0.9881262149843163,Low,No Risk,False,0.5334992509937103
Niacinamide (Vitamin B3),Niacinamide (Vitamin B3),Anti-Aging Agent,Vitamin,Synthetic,Approved,Very Safe,Very Safe,True,0.9203608134402166,Low,Low,True,0.9846336663763392,Low,Low,True,0.5627350147367932
Biotin (Vitamin B7),Biotin (Vitamin B7),Conditioning Agent,Vitamin,Biotechnology Derived,Approved,Very Safe,Safe,False,0.7711878596373782,Low,Low,True,0.99243649201919,No Risk,No Risk,True,0.9805385821504041
