Ingredient_Name,Primary_Function,Ingredient_Category,Product_Categories,Origin,Safety_Level,Allergy_Risk,Irritation_Risk,Regulatory_Status,Packaging Names / Alternate Names
Portulaca Oleracea Extract,Botanical Extract,Botanical Extract,"Serum, Cream",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Punica Granatum Extract (Pomegranate),Botanical Extract,Botanical Extract,"Serum, Face Cream, Lip Balm",Natural,Safe,Low,No Risk,Approved,Pomegranate
Vitis Vinifera Seed Extract (Grape Seed),Botanical Extract,Botanical Extract,"Serum, Eye Cream",Natural,Safe,Low,No Risk,Approved,Grape Seed
Malus Domestica Fruit Extract (Apple),Botanical Extract,Botanical Extract,"Shampoo, Serum",Natural,Safe,Low,No Risk,Approved,Apple
Citrus Limon Peel Extract (Lemon),Botanical Extract,Botanical Extract,"Face Wash, Hair Oil",Natural,Safe,Medium,Medium,Approved,Lemon
Citrus Aurantium Dulcis Peel Extract (Orange),Botanical Extract,Botanical Extract,"Face Wash, Body Scrub",Natural,Safe,Medium,Low,Approved,Orange
Carica Papaya Fruit Extract (Papaya),Botanical Extract,Botanical Extract,"Face Pack, Scrub, Brightening Cream",Natural,Safe,Low,No Risk,Approved,Papaya
Mangifera Indica Fruit Extract (Mango),Botanical Extract,Botanical Extract,"Body Butter, Lip Balm",Natural,Safe,Low,No Risk,Approved,Mango
Emblica Officinalis Fruit Extract (Amla),Botanical Extract,Botanical Extract,"Hair Oil, Shampoo, Hair Serum",Natural,Safe,Low,No Risk,Approved,Amla
Terminalia Chebula Fruit Extract (Haritaki),Botanical Extract,Botanical Extract,"Hair Oil, Face Pack",Natural,Safe,Low,No Risk,Approved,Haritaki
Terminalia Bellirica Fruit Extract (Bibhitaki),Botanical Extract,Botanical Extract,"Hair Oil, Shampoo",Natural,Safe,Low,No Risk,Approved,Bibhitaki
Withania Somnifera Root Extract (Ashwagandha),Botanical Extract,Botanical Extract,"Serum, Anti-Aging Cream",Natural,Safe,Low,No Risk,Approved,Ashwagandha
Bacopa Monnieri Extract (Brahmi),Botanical Extract,Botanical Extract,"Hair Oil, Shampoo",Natural,Safe,Low,No Risk,Approved,Brahmi
Eclipta Alba Extract (Bhringraj),Botanical Extract,Botanical Extract,"Hair Oil, Shampoo, Hair Serum",Natural,Safe,Low,No Risk,Approved,Bhringraj
Hibiscus Sabdariffa Flower Extract,Botanical Extract,Botanical Extract,"Shampoo, Hair Mask, Face Pack",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Santalum Album Extract (Sandalwood),Botanical Extract,Botanical Extract,"Face Pack, Soap, Face Cream",Natural,Safe,Low,No Risk,Approved,Sandalwood
Crocus Sativus Extract (Saffron/Kesar),Botanical Extract,Botanical Extract,"Face Serum, Face Cream",Natural,Safe,Low,No Risk,Approved,Saffron; Kesar
Kaolin (Multani Mitti / Fuller's Earth),Botanical Extract,Botanical Extract,"Face Pack, Face Mask",Natural,Safe,Low,No Risk,Approved,Multani Mitti; Fuller's Earth
Nelumbo Nucifera Extract (Sacred Lotus),Botanical Extract,Botanical Extract,"Serum, Face Cream",Natural,Safe,Low,No Risk,Approved,Sacred Lotus
Moringa Oleifera Seed Extract,Botanical Extract,Botanical Extract,"Face Oil, Serum, Hair Oil",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Trigonella Foenum-Graecum Seed Extract (Fenugreek),Botanical Extract,Botanical Extract,"Hair Mask, Shampoo",Natural,Safe,Low,No Risk,Approved,Fenugreek
Zingiber Officinale Root Extract (Ginger),Botanical Extract,Botanical Extract,"Hair Oil, Anti-Dandruff Products",Natural,Safe,Medium,Medium,Approved,Ginger
Panax Ginseng Root Extract,Botanical Extract,Botanical Extract,"Serum, Anti-Aging Cream, Shampoo",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Aesculus Hippocastanum Extract (Horse Chestnut),Botanical Extract,Botanical Extract,"Eye Cream, Body Lotion",Natural,Safe,Low,No Risk,Approved,Horse Chestnut
Gotu Kola Extract,Botanical Extract,Botanical Extract,"Serum, Cream",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Bambusa Vulgaris Extract (Bamboo),Botanical Extract,Botanical Extract,"Serum, Toner",Natural,Safe,Low,No Risk,Approved,Bamboo
Avena Sativa Kernel Extract (Oat),Botanical Extract,Botanical Extract,"Baby Lotion, Moisturizer, Face Mask",Natural,Safe,Low,No Risk,Approved,Oat
Colloidal Oatmeal,Botanical Extract,Botanical Extract,"Baby Lotion, Body Lotion, Anti-Itch Cream",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Morus Alba Root Extract (Mulberry),Botanical Extract,Botanical Extract,"Serum, Brightening Cream",Natural,Safe,Low,No Risk,Approved,Mulberry
Arctostaphylos Uva Ursi Leaf Extract (Bearberry),Botanical Extract,Botanical Extract,"Serum, Brightening Cream",Natural,Safe,Low,No Risk,Approved,Bearberry
Glycine Soja Extract (Soybean),Botanical Extract,Botanical Extract,"Serum, Face Cream",Natural,Safe,Low,No Risk,Approved,Soybean
Hippophae Rhamnoides Extract (Sea Buckthorn),Botanical Extract,Botanical Extract,"Face Oil, Serum",Natural,Safe,Low,No Risk,Approved,Sea Buckthorn
Vaccinium Myrtillus Fruit Extract (Blueberry),Botanical Extract,Botanical Extract,"Face Mask, Serum",Natural,Safe,Low,No Risk,Approved,Blueberry
Vaccinium Macrocarpon Fruit Extract (Cranberry),Botanical Extract,Botanical Extract,"Lip Balm, Face Mask",Natural,Safe,Low,No Risk,Approved,Cranberry
Ginkgo Biloba Leaf Extract,Botanical Extract,Botanical Extract,"Serum, Eye Cream",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Equisetum Arvense Extract (Horsetail),Botanical Extract,Botanical Extract,"Shampoo, Serum",Natural,Safe,Low,No Risk,Approved,Horsetail
Arctium Lappa Root Extract (Burdock Root),Botanical Extract,Botanical Extract,"Scalp Serum, Anti-Dandruff Products",Natural,Safe,Low,No Risk,Approved,Burdock Root
Symphytum Officinale Extract (Comfrey),Botanical Extract,Botanical Extract,"Cream, Balm",Natural,Safe,Low,No Risk,Approved,Comfrey
Achillea Millefolium Extract (Yarrow),Botanical Extract,Botanical Extract,"Toner, Face Mask",Natural,Safe,Low,No Risk,Approved,Yarrow
Althaea Officinalis Root Extract (Marshmallow Root),Botanical Extract,Botanical Extract,"Cream, Baby Lotion",Natural,Safe,Low,No Risk,Approved,Marshmallow Root
Sambucus Nigra Flower Extract (Elderflower),Botanical Extract,Botanical Extract,"Toner, Face Mist",Natural,Safe,Low,No Risk,Approved,Elderflower
Centaurea Cyanus Flower Extract (Cornflower),Botanical Extract,Botanical Extract,"Eye Gel, Toner",Natural,Safe,Low,No Risk,Approved,Cornflower
Rosmarinus Officinalis Leaf Extract (Rosemary),Botanical Extract,Botanical Extract,"Shampoo, Scalp Serum, Hair Oil",Natural,Safe,Low,No Risk,Approved,Rosemary
Salvia Officinalis Leaf Extract (Sage),Botanical Extract,Botanical Extract,"Shampoo, Mouthwash",Natural,Safe,Low,No Risk,Approved,Sage
Mentha Piperita Leaf Extract (Peppermint),Botanical Extract,Botanical Extract,"Shampoo, Scalp Serum, Toothpaste",Natural,Safe,Medium,Medium,Approved,Peppermint
Mentha Viridis Leaf Extract (Spearmint),Botanical Extract,Botanical Extract,"Toothpaste, Mouthwash",Natural,Safe,Low,No Risk,Approved,Spearmint
Thymus Vulgaris Extract (Thyme),Botanical Extract,Botanical Extract,"Mouthwash, Anti-Acne Products",Natural,Safe,Medium,Medium,Approved,Thyme
Lavandula Angustifolia Extract (Lavender),Botanical Extract,Botanical Extract,"Baby Lotion, Body Wash, Toner",Natural,Safe,Low,No Risk,Approved,Lavender
Humulus Lupulus Extract (Hops),Botanical Extract,Botanical Extract,"Shampoo, Serum",Natural,Safe,Low,No Risk,Approved,Hops
Urtica Dioica Extract (Nettle),Botanical Extract,Botanical Extract,"Shampoo, Scalp Serum",Natural,Safe,Low,No Risk,Approved,Nettle
Taraxacum Officinale Extract (Dandelion),Botanical Extract,Botanical Extract,"Serum, Face Mask",Natural,Safe,Low,No Risk,Approved,Dandelion
Plantago Major Extract (Plantain),Botanical Extract,Botanical Extract,"Cream, Balm",Natural,Safe,Low,No Risk,Approved,Plantain
Nasturtium Officinale Extract (Watercress),Botanical Extract,Botanical Extract,"Serum, Face Mask",Natural,Safe,Low,No Risk,Approved,Watercress
Spinacia Oleracea Extract (Spinach),Botanical Extract,Botanical Extract,"Face Mask, Serum",Natural,Safe,Low,No Risk,Approved,Spinach
Daucus Carota Sativa Extract (Carrot),Botanical Extract,Botanical Extract,"Serum, Body Lotion",Natural,Safe,Low,No Risk,Approved,Carrot
Beta Vulgaris Root Extract (Beetroot),Botanical Extract,Botanical Extract,"Lip Tint, Face Mask",Natural,Safe,Low,No Risk,Approved,Beetroot
Solanum Lycopersicum Fruit Extract (Tomato),Botanical Extract,Botanical Extract,"Face Pack, Serum",Natural,Safe,Low,No Risk,Approved,Tomato
Ananas Sativus Fruit Extract (Pineapple),Botanical Extract,Botanical Extract,"Face Scrub, Enzyme Peel",Natural,Safe,Low,No Risk,Approved,Pineapple
Actinidia Chinensis Fruit Extract (Kiwi),Botanical Extract,Botanical Extract,"Face Mask, Scrub",Natural,Safe,Low,No Risk,Approved,Kiwi
Citrus Sinensis Fruit Extract (Orange Fruit),Botanical Extract,Botanical Extract,"Vitamin C Serum, Face Mask",Natural,Safe,Low,No Risk,Approved,Orange Fruit
Cocos Nucifera Fruit Juice (Coconut Water),Botanical Extract,Botanical Extract,"Face Mist, Serum",Natural,Safe,Low,No Risk,Approved,Coconut Water
Oryza Sativa Extract (Rice Extract),Botanical Extract,Botanical Extract,"Face Wash, Serum, Face Pack",Natural,Safe,Low,No Risk,Approved,Rice Extract
Hordeum Vulgare Extract (Barley),Botanical Extract,Botanical Extract,"Face Mask, Serum",Natural,Safe,Low,No Risk,Approved,Barley
Chenopodium Quinoa Seed Extract (Quinoa),Botanical Extract,Botanical Extract,"Shampoo, Conditioner",Natural,Safe,Low,No Risk,Approved,Quinoa
Helianthus Annuus Seed Extract (Sunflower Seed),Botanical Extract,Botanical Extract,"Serum, Face Cream",Natural,Safe,Low,No Risk,Approved,Sunflower Seed
Sesamum Indicum Seed Extract (Sesame Seed),Botanical Extract,Botanical Extract,"Face Cream, Hair Serum",Natural,Safe,Low,No Risk,Approved,Sesame Seed
Tinospora Cordifolia Extract (Guduchi),Botanical Extract,Botanical Extract,"Face Serum, Immunity Skin Care",Natural,Safe,Low,No Risk,Approved,Guduchi
Vetiveria Zizanoides Root Extract (Vetiver),Botanical Extract,Botanical Extract,"Soap, Face Mist, Perfume",Natural,Safe,Low,No Risk,Approved,Vetiver
Symplocos Racemosa Extract (Lodhra),Botanical Extract,Botanical Extract,"Face Pack, Serum",Natural,Safe,Low,No Risk,Approved,Lodhra
Rubia Cordifolia Root Extract (Manjistha),Botanical Extract,Botanical Extract,"Face Serum, Face Pack",Natural,Safe,Low,No Risk,Approved,Manjistha
Berberis Aristata Extract (Daruharidra),Botanical Extract,Botanical Extract,"Face Pack, Anti-Acne Products",Natural,Safe,Low,No Risk,Approved,Daruharidra
Cyperus Rotundus Extract (Nagarmotha),Botanical Extract,Botanical Extract,"Face Pack, Serum",Natural,Safe,Low,No Risk,Approved,Nagarmotha
Nardostachys Jatamansi Extract,Botanical Extract,Botanical Extract,"Hair Oil, Scalp Serum",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Sapindus Mukorossi Fruit Extract (Reetha/Soapnut),Botanical Extract,Botanical Extract,"Shampoo, Face Wash",Natural,Safe,Low,No Risk,Approved,Reetha; Soapnut
Acacia Concinna Fruit Extract (Shikakai),Botanical Extract,Botanical Extract,"Shampoo, Hair Oil",Natural,Safe,Low,No Risk,Approved,Shikakai
Lawsonia Inermis Leaf Powder (Henna),Colorant,Botanical Extract,"Hair Color, Hair Mask, Hair Dye",Natural,Safe,Medium,Low,Approved,Henna
Indigofera Tinctoria Leaf Powder (Indigo Powder),Colorant,Botanical Extract,"Hair Color, Hair Dye",Natural,Safe,Medium,Low,Approved,Indigo Powder
Melaleuca Alternifolia Leaf Oil (Tea Tree Oil),Fragrance/Essential Oil,Essential Oil,"Face Wash, Anti-Acne Products, Shampoo",Natural,Moderate Risk,Medium,Medium,Restricted,Tea Tree Oil
Cedrus Atlantica Bark Oil (Cedarwood Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Hair Oil",Natural,Moderate Risk,Medium,Medium,Restricted,Cedarwood Oil
Lavandula Angustifolia Oil (Lavender Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Body Mist, Baby Products",Natural,Moderate Risk,Medium,Medium,Restricted,Lavender Oil
Mentha Piperita Oil (Peppermint Oil),Fragrance/Essential Oil,Essential Oil,"Shampoo, Toothpaste, Scalp Serum",Natural,Moderate Risk,Medium,Medium,Restricted,Peppermint Oil
Rosmarinus Officinalis Leaf Oil (Rosemary Oil),Fragrance/Essential Oil,Essential Oil,"Hair Oil, Scalp Serum",Natural,Moderate Risk,Medium,Medium,Restricted,Rosemary Oil
Cymbopogon Schoenanthus Oil (Lemongrass Oil),Fragrance/Essential Oil,Essential Oil,"Soap, Body Wash, Perfume",Natural,Moderate Risk,Medium,Medium,Restricted,Lemongrass Oil
Eucalyptus Globulus Leaf Oil (Eucalyptus Oil),Fragrance/Essential Oil,Essential Oil,"Balm, Chest Rub, Shampoo",Natural,Moderate Risk,Medium,Medium,Restricted,Eucalyptus Oil
Salvia Sclarea Oil (Clary Sage Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Body Oil",Natural,Moderate Risk,Medium,Medium,Restricted,Clary Sage Oil
Cananga Odorata Flower Oil (Ylang Ylang Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Hair Oil",Natural,Moderate Risk,Medium,Medium,Restricted,Ylang Ylang Oil
Pelargonium Graveolens Oil (Geranium Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Soap",Natural,Moderate Risk,Medium,Medium,Restricted,Geranium Oil
Citrus Aurantium Bergamia Peel Oil (Bergamot Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Body Mist",Natural,Moderate Risk,Medium,Medium,Restricted,Bergamot Oil
Boswellia Carterii Oil (Frankincense Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Serum",Natural,Moderate Risk,Medium,Medium,Restricted,Frankincense Oil
Pogostemon Cablin Oil (Patchouli Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Deodorant",Natural,Moderate Risk,Medium,Medium,Restricted,Patchouli Oil
Santalum Album Oil (Sandalwood Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Soap, Face Cream",Natural,Moderate Risk,Medium,Medium,Restricted,Sandalwood Oil
Jasminum Officinale Oil (Jasmine Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Hair Oil",Natural,Moderate Risk,Medium,Medium,Restricted,Jasmine Oil
Rosa Damascena Oil (Rose Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Face Serum",Natural,Moderate Risk,Medium,Medium,Restricted,Rose Oil
Anthemis Nobilis Flower Oil (Chamomile Oil),Fragrance/Essential Oil,Essential Oil,"Baby Products, Hair Oil",Natural,Moderate Risk,Medium,Medium,Restricted,Chamomile Oil
Ocimum Basilicum Oil (Basil Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Mouthwash",Natural,Moderate Risk,Medium,Medium,Restricted,Basil Oil
Cinnamomum Zeylanicum Bark Oil (Cinnamon Bark Oil),Fragrance/Essential Oil,Essential Oil,"Lip Plumper, Perfume",Natural,Moderate Risk,Medium,Medium,Restricted,Cinnamon Bark Oil
Syzygium Aromaticum Bud Oil (Clove Bud Oil),Fragrance/Essential Oil,Essential Oil,"Toothpaste, Mouthwash",Natural,Moderate Risk,Medium,Medium,Restricted,Clove Bud Oil
Gaultheria Procumbens Oil (Wintergreen Oil),Fragrance/Essential Oil,Essential Oil,"Balm, Toothpaste",Natural,Moderate Risk,Medium,Medium,Restricted,Wintergreen Oil
Citrus Paradisi Peel Oil (Grapefruit Peel Oil),Fragrance/Essential Oil,Essential Oil,"Body Mist, Perfume",Natural,Moderate Risk,Medium,Medium,Restricted,Grapefruit Peel Oil
Citrus Aurantifolia Oil (Lime Oil),Fragrance/Essential Oil,Essential Oil,"Perfume, Body Wash",Natural,Moderate Risk,Medium,Medium,Restricted,Lime Oil
Melaleuca Cajuputi Oil (Cajeput Oil),Fragrance/Essential Oil,Essential Oil,"Balm, Hair Oil",Natural,Moderate Risk,Medium,Medium,Restricted,Cajeput Oil
Cinnamomum Camphora Oil (Camphor Oil),Fragrance/Essential Oil,Essential Oil,"Balm, Chest Rub",Natural,Moderate Risk,Medium,Medium,Restricted,Camphor Oil
Cetyl Ethylhexanoate,Emollient,Emollient,"Sunscreen, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Cetyl Palmitate,Emollient,Wax Ester,"Cream, Lip Balm",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Isopropyl Isostearate,Emollient,Emollient,"Foundation, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Octyldodecyl Stearoyl Stearate,Emollient,Emollient,"Lipstick, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Pentaerythrityl Tetraisostearate,Emollient,Emollient,"Sunscreen, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Neopentyl Glycol Diheptanoate,Emollient,Emollient,"Sunscreen, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Coco-Caprylate,Emollient,Emollient,"Sunscreen, Serum, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Ethylhexyl Stearate,Emollient,Emollient,"Sunscreen, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Myristyl Myristate,Emollient,Wax Ester,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Decyl Oleate,Emollient,Emollient,"Body Oil, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Propylene Glycol Dicaprylate/Dicaprate,Emollient,Emollient,"Sunscreen, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Behentrimonium Chloride,Conditioning Agent,Quaternary Ammonium,"Conditioner, Hair Mask",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Cetrimonium Chloride,Conditioning Agent,Quaternary Ammonium,"Conditioner, Shampoo",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Stearalkonium Chloride,Conditioning Agent,Quaternary Ammonium,"Conditioner, Hair Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Quaternium-18,Conditioning Agent,Quaternary Ammonium,"Conditioner, Hair Mask",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Quaternium-80,Conditioning Agent,Quaternary Ammonium,"Conditioner, Hair Serum",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Polyquaternium-6,Film Former,Polymer,"Hair Gel, Hair Spray",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyquaternium-37,Film Former,Polymer,"Hair Gel, Styling Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Guar Hydroxypropyltrimonium Chloride,Conditioning Agent,Polymer,"Shampoo, Conditioner",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydroxypropyltrimonium Honey,Conditioning Agent,Humectant,"Shampoo, Conditioner",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Quinoa,Conditioning Agent,Protein,"Shampoo, Conditioner",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Palmitoyl Pentapeptide-4 (Matrixyl),Anti-Aging Agent,Peptide,"Serum, Eye Cream, Night Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,Matrixyl
Palmitoyl Tripeptide-1,Anti-Aging Agent,Peptide,"Serum, Eye Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Palmitoyl Tripeptide-5,Anti-Aging Agent,Peptide,"Serum, Night Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Acetyl Hexapeptide-8 (Argireline),Anti-Aging Agent,Peptide,"Serum, Eye Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,Argireline
Copper Tripeptide-1,Anti-Aging Agent,Peptide,"Serum, Hair Serum",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Wheat Protein,Conditioning Agent,Protein,"Shampoo, Conditioner, Hair Mask",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Silk Protein,Conditioning Agent,Protein,"Shampoo, Hair Serum",Animal Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Keratin,Conditioning Agent,Protein,"Shampoo, Hair Mask, Hair Serum",Animal Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Collagen,Conditioning Agent,Protein,"Serum, Hair Mask, Cream",Animal Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Rice Protein,Conditioning Agent,Protein,"Shampoo, Conditioner",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Soy Protein,Conditioning Agent,Protein,"Shampoo, Conditioner",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Oat Protein,Conditioning Agent,Protein,"Shampoo, Baby Lotion",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydrolyzed Milk Protein,Conditioning Agent,Protein,"Body Lotion, Hair Mask",Animal Derived,Safe,Low,No Risk,Approved,No Alternate Names
Tocopherol (Vitamin E),Antioxidant,Vitamin,"Serum, Moisturizer, Face Oil, Lip Balm",Naturally Derived,Very Safe,Low,No Risk,Approved,Vitamin E
Tocopheryl Acetate,Antioxidant,Vitamin,"Serum, Moisturizer, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Retinol,Anti-Aging Agent,Vitamin,"Night Cream, Serum, Eye Cream",Synthetic,Moderate Risk,Medium,High,Approved,No Alternate Names
Retinyl Palmitate,Anti-Aging Agent,Vitamin,"Night Cream, Serum",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Retinaldehyde,Anti-Aging Agent,Vitamin,"Serum, Night Cream",Synthetic,Moderate Risk,Medium,High,Approved,No Alternate Names
Ascorbic Acid (Vitamin C),Antioxidant,Vitamin,"Serum, Brightening Cream",Synthetic,Safe,Low,Medium,Approved,Vitamin C
Ascorbyl Glucoside,Antioxidant,Vitamin,"Serum, Brightening Cream",Biotechnology Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Ascorbyl Phosphate,Antioxidant,Vitamin,"Serum, Brightening Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Magnesium Ascorbyl Phosphate,Antioxidant,Vitamin,"Serum, Brightening Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Ascorbyl Palmitate,Antioxidant,Vitamin,"Serum, Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Niacinamide (Vitamin B3),Anti-Aging Agent,Vitamin,"Serum, Moisturizer, Face Wash",Synthetic,Very Safe,Low,Low,Approved,Vitamin B3; Nicotinamide
Biotin (Vitamin B7),Conditioning Agent,Vitamin,"Shampoo, Hair Serum",Biotechnology Derived,Very Safe,Low,No Risk,Approved,Vitamin B7
Folic Acid,Conditioning Agent,Vitamin,"Hair Serum, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Pyridoxine HCl (Vitamin B6),Conditioning Agent,Vitamin,"Shampoo, Serum",Synthetic,Safe,Low,No Risk,Approved,Vitamin B6
Riboflavin (Vitamin B2),Antioxidant,Vitamin,"Serum, Cream",Synthetic,Safe,Low,No Risk,Approved,Vitamin B2
Phytonadione (Vitamin K),Conditioning Agent,Vitamin,"Eye Cream, Under Eye Serum",Synthetic,Safe,Low,No Risk,Approved,Vitamin K
Calcium Pantothenate,Conditioning Agent,Vitamin,"Shampoo, Serum",Synthetic,Safe,Low,No Risk,Approved,Vitamin B5
Ethylhexyl Methoxycinnamate,UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Octocrylene,UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Avobenzone (Butyl Methoxydibenzoylmethane),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,Butyl Methoxydibenzoylmethane
Homosalate,UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Ethylhexyl Salicylate (Octisalate),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,Octisalate
Oxybenzone (Benzophenone-3),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Moderate Risk,Medium,Medium,Country Restricted,Benzophenone-3
Ensulizole (Phenylbenzimidazole Sulfonic Acid),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,Phenylbenzimidazole Sulfonic Acid
Bisoctrizole (Methylene Bis-Benzotriazolyl Tetramethylbutylphenol),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol
Bemotrizinol (Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine
Diethylamino Hydroxybenzoyl Hexyl Benzoate,UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Titanium Dioxide,UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,CI 77891
Zinc Oxide,UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Polysilicone-15,UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Diethylhexyl Butamido Triazone (Iscotrizinol),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,Iscotrizinol
Octyl Triazone (Ethylhexyl Triazone),UV Filter,UV Filter,"Sunscreen, Day Cream, Foundation, BB Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Ferulic Acid,Antioxidant,Antioxidant,"Vitamin C Serum, Anti-Aging Cream",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Resveratrol,Antioxidant,Antioxidant,"Serum, Anti-Aging Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Butylated Hydroxytoluene (BHT),Antioxidant,Antioxidant,"Lipstick, Cream, Sunscreen",Synthetic,Safe,Low,Low,Approved,BHT
Butylated Hydroxyanisole (BHA),Antioxidant,Antioxidant,"Lipstick, Cream",Synthetic,Moderate Risk,Medium,Low,Restricted,BHA
Sodium Metabisulfite,Antioxidant,Antioxidant,"Hair Color, Perm Lotion",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Astaxanthin,Antioxidant,Antioxidant,"Serum, Anti-Aging Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Ubiquinone (Coenzyme Q10),Antioxidant,Antioxidant,"Serum, Night Cream, Eye Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,Coenzyme Q10
