Ingredient Name,Category,Safety Level,Allergy Risk,Health Impact,Processing Level,Regulatory Status,Packaging Names / Alternate Names
Corn Syrup Solids,Sweeteners,Moderate,,Negative,Highly Processed,Approved,corn syrup solids
Malt Extract,Sweeteners,Safe,,Neutral,Processed,Approved,malt extract
Golden Syrup,Sweeteners,Moderate,,Negative,Processed,Approved,golden syrup
Icing Sugar,Sweeteners,Moderate,,Negative,Processed,Approved,icing sugar; confectioners sugar; powdered sugar
Aspartame,Artificial Sweeteners,Moderate,,Negative,Ultra Processed,Approved with Limits,aspartame; INS 951; E951
Sucralose,Artificial Sweeteners,Moderate,,Negative,Ultra Processed,Approved with Limits,sucralose; INS 955; E955
Saccharin,Artificial Sweeteners,Moderate,,Negative,Ultra Processed,Approved with Limits,saccharin; INS 954; E954
Acesulfame Potassium,Artificial Sweeteners,Moderate,,Negative,Ultra Processed,Approved with Limits,acesulfame potassium; acesulfame K; ACE-K; INS 950; E950
Steviol Glycosides (Stevia),Artificial Sweeteners,Safe,,Neutral,Ultra Processed,Approved with Limits,steviol glycosides; stevia; INS 960
Neotame,Artificial Sweeteners,Moderate,,Negative,Ultra Processed,Approved with Limits,neotame; INS 961; E961
Sorbitol (Sweetener),Artificial Sweeteners,Safe,,Negative,Ultra Processed,Approved with Limits,sorbitol; INS 420; E420
Xylitol,Artificial Sweeteners,Safe,,Neutral,Ultra Processed,Approved with Limits,xylitol; INS 967; E967
Erythritol,Artificial Sweeteners,Safe,,Neutral,Ultra Processed,Approved with Limits,erythritol; INS 968; E968
Mannitol,Artificial Sweeteners,Moderate,,Negative,Ultra Processed,Approved with Limits,mannitol; INS 421; E421
Sodium Benzoate,Preservatives,Moderate,,Negative,Processed,Approved with Limits,sodium benzoate; preservative 211; INS 211; E211
Potassium Sorbate,Preservatives,Safe,,Neutral,Processed,Approved with Limits,potassium sorbate; INS 202; E202
Sulphur Dioxide,Preservatives,Risky,Medium,Negative,Processed,Approved with Limits,sulphur dioxide; sulfur dioxide; SO2; INS 220; E220
Calcium Propionate,Preservatives,Safe,,Neutral,Processed,Approved with Limits,calcium propionate; INS 282; E282
Sodium Nitrite,Preservatives,Risky,,Very Negative,Processed,Approved with Limits,sodium nitrite; INS 250; E250
Sodium Metabisulphite,Preservatives,Risky,Medium,Negative,Processed,Approved with Limits,sodium metabisulphite; sodium metabisulfite; INS 223; E223
Potassium Metabisulphite,Preservatives,Risky,Medium,Negative,Processed,Approved with Limits,potassium metabisulphite; INS 224; E224
Sodium Nitrate,Preservatives,Risky,,Negative,Processed,Approved with Limits,sodium nitrate; INS 251; E251
Potassium Nitrate,Preservatives,Risky,,Negative,Processed,Approved with Limits,potassium nitrate; INS 252; E252
Sodium Propionate,Preservatives,Safe,,Neutral,Processed,Approved with Limits,sodium propionate; INS 281; E281
Benzoic Acid,Preservatives,Moderate,,Negative,Processed,Approved with Limits,benzoic acid; INS 210; E210
Sorbic Acid,Preservatives,Safe,,Negative,Processed,Approved with Limits,sorbic acid; INS 200; E200
Nisin,Preservatives,Safe,,Neutral,Processed,Approved with Limits,nisin; INS 234; E234
Natamycin,Preservatives,Safe,,Neutral,Processed,Approved with Limits,natamycin; pimaricin; INS 235; E235
Calcium Sorbate,Preservatives,Safe,,Negative,Processed,Approved with Limits,calcium sorbate; INS 203; E203
Methyl Paraben,Preservatives,Moderate,,Negative,Processed,Restricted,methyl paraben; methylparaben; INS 218; E218
Propyl Paraben,Preservatives,Moderate,,Negative,Processed,Restricted,propyl paraben; propylparaben; INS 216; E216
Sodium Diacetate,Preservatives,Safe,,Negative,Processed,Approved with Limits,sodium diacetate; INS 262(ii)
Potassium Benzoate,Preservatives,Moderate,,Negative,Processed,Approved with Limits,potassium benzoate; INS 212; E212
Formic Acid,Preservatives,Moderate,,Negative,Processed,Approved with Limits,formic acid; INS 236
Propionic Acid,Preservatives,Moderate,,Negative,Processed,Approved with Limits,propionic acid; INS 280; E280
Sodium Sulphite,Preservatives,Risky,Medium,Negative,Processed,Approved with Limits,sodium sulphite; sodium sulfite; INS 221; E221
Calcium Sulphite,Preservatives,Risky,Medium,Negative,Processed,Approved with Limits,calcium sulphite; INS 226; E226
Sodium Bisulphite,Preservatives,Risky,Medium,Negative,Processed,Approved with Limits,sodium bisulphite; sodium hydrogen sulphite; INS 222; E222
Calcium Disodium EDTA,Preservatives,Moderate,,Negative,Processed,Approved with Limits,calcium disodium EDTA; INS 385; E385
Xanthan Gum,Stabilizers,Safe,,Neutral,Processed,Approved,xanthan gum; INS 415; E415
Guar Gum,Stabilizers,Safe,,Neutral,Processed,Approved,guar gum; INS 412; E412
Carrageenan,Stabilizers,Safe,,Neutral,Processed,Approved,carrageenan; INS 407; E407
Sodium Alginate,Stabilizers,Safe,,Neutral,Processed,Approved,sodium alginate; INS 401; E401
Gum Arabic (Acacia Gum),Stabilizers,Safe,,Neutral,Processed,Approved,gum arabic; acacia gum; INS 414; E414
Gellan Gum,Stabilizers,Safe,,Neutral,Processed,Approved,gellan gum; INS 418; E418
Karaya Gum,Stabilizers,Safe,,Neutral,Processed,Approved,karaya gum; INS 416; E416
Tara Gum,Stabilizers,Safe,,Neutral,Processed,Approved,tara gum; INS 417; E417
Tragacanth Gum,Stabilizers,Safe,,Neutral,Processed,Approved,tragacanth gum; gum tragacanth; INS 413; E413
Potassium Alginate,Stabilizers,Safe,,Neutral,Processed,Approved,potassium alginate; INS 402; E402
Ammonium Alginate,Stabilizers,Safe,,Neutral,Processed,Approved,ammonium alginate; INS 403; E403
Furcellaran,Stabilizers,Safe,,Neutral,Processed,Approved,furcellaran; INS 407a; E407a
Soy Lecithin,Emulsifiers,Safe,Medium,Neutral,Highly Processed,Approved,soy lecithin; soya lecithin; INS 322; E322
Mono- and Diglycerides of Fatty Acids,Emulsifiers,Moderate,,Neutral,Highly Processed,Approved,mono and diglycerides of fatty acids; mono-diglycerides; MDG; INS 471; E471
Polysorbate 80,Emulsifiers,Moderate,,Negative,Ultra Processed,Approved with Limits,polysorbate 80; PS80; Tween 80; INS 433; E433
Sodium Stearoyl Lactylate,Emulsifiers,Safe,,Neutral,Highly Processed,Approved,sodium stearoyl lactylate; SSL; INS 481
Polysorbate 60,Emulsifiers,Moderate,,Negative,Ultra Processed,Approved with Limits,polysorbate 60; PS60; INS 435; E435
Sorbitan Monostearate,Emulsifiers,Moderate,,Neutral,Highly Processed,Approved,sorbitan monostearate; INS 491; E491
Diacetyl Tartaric Acid Esters (DATEM),Emulsifiers,Moderate,,Neutral,Highly Processed,Approved,DATEM; diacetyl tartaric acid esters of mono and diglycerides; INS 472e; E472e
Calcium Stearoyl Lactylate,Emulsifiers,Safe,,Neutral,Highly Processed,Approved,calcium stearoyl lactylate; CSL; INS 482
Ammonium Phosphatide,Emulsifiers,Moderate,,Neutral,Highly Processed,Approved,ammonium phosphatide; INS 442; E442
Sucrose Esters of Fatty Acids,Emulsifiers,Moderate,,Neutral,Highly Processed,Approved,sucrose esters of fatty acids; sucrose esters; INS 473; E473
Propylene Glycol Esters of Fatty Acids,Emulsifiers,Moderate,,Neutral,Highly Processed,Approved,propylene glycol esters of fatty acids; PGE; INS 477; E477
Sunflower Lecithin,Emulsifiers,Safe,,Neutral,Highly Processed,Approved,sunflower lecithin; INS 322
Egg Yolk Lecithin,Emulsifiers,Safe,High,Neutral,Highly Processed,Approved,egg yolk lecithin
Glycerol Monostearate,Emulsifiers,Moderate,,Neutral,Highly Processed,Approved,glycerol monostearate; GMS; mono glyceride; INS 471
Polyglycerol Polyricinoleate (PGPR),Emulsifiers,Moderate,,Neutral,Highly Processed,Approved with Limits,PGPR; polyglycerol polyricinoleate; INS 476; E476
Pectin,Thickeners,Safe,,Neutral,Processed,Approved,pectin; INS 440; E440
Locust Bean Gum,Thickeners,Safe,,Neutral,Processed,Approved,locust bean gum; carob bean gum; INS 410; E410
Carboxymethyl Cellulose,Thickeners,Safe,,Neutral,Processed,Approved,carboxymethyl cellulose; CMC; cellulose gum; INS 466; E466
Methyl Cellulose,Thickeners,Safe,,Neutral,Processed,Approved,methyl cellulose; INS 461; E461
Hydroxypropyl Methylcellulose,Thickeners,Safe,,Neutral,Processed,Approved,hydroxypropyl methylcellulose; HPMC; INS 464; E464
Konjac Gum,Thickeners,Safe,,Neutral,Processed,Approved,konjac gum; INS 425; E425
Waxy Maize Starch,Thickeners,Safe,,Neutral,Processed,Approved,waxy maize starch; waxy corn starch
Psyllium Husk,Thickeners,Safe,,Neutral,Processed,Approved,psyllium husk; isabgol; इसबगोल
Cassia Gum,Thickeners,Safe,,Neutral,Processed,Approved,cassia gum; INS 427; E427
Sodium Carboxymethyl Cellulose,Thickeners,Safe,,Neutral,Processed,Approved,sodium carboxymethyl cellulose; sodium CMC; INS 466; E466
Modified Tapioca Starch,Thickeners,Safe,,Neutral,Processed,Approved,modified tapioca starch
Pre-gelatinized Starch,Thickeners,Safe,,Neutral,Processed,Approved,pre-gelatinized starch; pregelatinized starch; instant starch
Citric Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,citric acid; acidity regulator (330); INS 330; E330
Malic Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,malic acid; INS 296; E296
Lactic Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,lactic acid; INS 270; E270
Sodium Citrate,Acidity Regulators,Safe,,Neutral,Processed,Approved,sodium citrate; INS 331; E331
Acetic Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,acetic acid; INS 260; E260
Tartaric Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,tartaric acid; INS 334; E334
Phosphoric Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,phosphoric acid; INS 338; E338
Potassium Citrate,Acidity Regulators,Safe,,Neutral,Processed,Approved,potassium citrate; INS 332; E332
Fumaric Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,fumaric acid; INS 297; E297
Sodium Lactate,Acidity Regulators,Safe,,Neutral,Processed,Approved,sodium lactate; INS 325; E325
Calcium Lactate,Acidity Regulators,Safe,,Neutral,Processed,Approved,calcium lactate; INS 327; E327
Adipic Acid,Acidity Regulators,Safe,,Neutral,Processed,Approved,adipic acid; INS 355; E355
Ascorbic Acid (Vitamin C),Antioxidants,Very Safe,,Positive,Processed,Approved,ascorbic acid; vitamin C; INS 300; E300
Tocopherols (Vitamin E),Antioxidants,Very Safe,,Positive,Processed,Approved,tocopherols; vitamin E; INS 307; E307
BHA (Butylated Hydroxyanisole),Antioxidants,Risky,,Negative,Ultra Processed,Approved with Limits,BHA; butylated hydroxyanisole; INS 320; E320
BHT (Butylated Hydroxytoluene),Antioxidants,Risky,,Negative,Ultra Processed,Approved with Limits,BHT; butylated hydroxytoluene; INS 321; E321
TBHQ (Tertiary Butylhydroquinone),Antioxidants,Risky,,Negative,Ultra Processed,Approved with Limits,TBHQ; tertiary butylhydroquinone; tert-butylhydroquinone; INS 319; E319
Propyl Gallate,Antioxidants,Moderate,,Negative,Processed,Approved with Limits,propyl gallate; INS 310; E310
Sodium Ascorbate,Antioxidants,Safe,,Positive,Processed,Approved,sodium ascorbate; INS 301; E301
Rosemary Extract,Antioxidants,Very Safe,,Positive,Minimally Processed,Approved,rosemary extract; INS 392
Ascorbyl Palmitate,Antioxidants,Safe,,Positive,Processed,Approved,ascorbyl palmitate; INS 304; E304
Erythorbic Acid,Antioxidants,Safe,,Positive,Processed,Approved,erythorbic acid; isoascorbic acid; INS 315; E315
Sodium Erythorbate,Antioxidants,Safe,,Positive,Processed,Approved,sodium erythorbate; INS 316; E316
Mixed Tocopherols,Antioxidants,Safe,,Positive,Processed,Approved,mixed tocopherols; INS 307b
Monosodium Glutamate (MSG),Flavour Enhancers,Moderate,Low,Neutral,Ultra Processed,Approved,monosodium glutamate; MSG; flavour enhancer (621); INS 621; E621; ajinomoto
Disodium Inosinate,Flavour Enhancers,Moderate,Low,Neutral,Ultra Processed,Approved,disodium inosinate; IMP; INS 631; E631
Disodium Guanylate,Flavour Enhancers,Moderate,Low,Neutral,Ultra Processed,Approved,disodium guanylate; GMP; INS 627; E627
Disodium 5'-Ribonucleotides,Flavour Enhancers,Moderate,Low,Neutral,Ultra Processed,Approved,disodium 5'-ribonucleotides; ribonucleotides; INS 635; E635
Yeast Extract,Flavour Enhancers,Safe,,Neutral,Ultra Processed,Approved,yeast extract
Hydrolyzed Vegetable Protein,Flavour Enhancers,Moderate,Medium,Neutral,Ultra Processed,Approved,hydrolyzed vegetable protein; hydrolysed vegetable protein; HVP
Glutamic Acid,Flavour Enhancers,Moderate,Low,Neutral,Ultra Processed,Approved,glutamic acid; INS 620; E620
Autolyzed Yeast Extract,Flavour Enhancers,Safe,,Neutral,Ultra Processed,Approved,autolyzed yeast extract; autolysed yeast extract
Artificial Vanilla Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial vanilla flavour; vanilla flavour (artificial); synthetic vanilla flavour; vanillin flavour
Artificial Fruit Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial fruit flavour; mixed fruit flavour (artificial)
Artificial Strawberry Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial strawberry flavour; strawberry flavour (artificial)
Artificial Mango Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial mango flavour; mango flavour (artificial)
Artificial Butter Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial butter flavour; butter flavour (artificial)
Artificial Cheese Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial cheese flavour; cheese flavour (artificial)
Artificial Chocolate Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial chocolate flavour; chocolate flavour (artificial)
Artificial Mint Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial mint flavour; mint flavour (artificial)
Artificial Pineapple Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial pineapple flavour; pineapple flavour (artificial)
Artificial Orange Flavour,Artificial Flavours,Moderate,Low,Neutral,Ultra Processed,Approved,artificial orange flavour; orange flavour (artificial)
Natural Vanilla Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural vanilla extract; vanilla extract
Natural Fruit Flavour,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural fruit flavour; natural mixed fruit flavour
Natural Mint Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural mint extract; peppermint extract
Natural Lemon Oil,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural lemon oil; lemon oil
Natural Orange Oil,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural orange oil; orange oil
Natural Cardamom Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural cardamom extract; elaichi extract
Natural Ginger Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural ginger extract; adrak extract
Natural Cinnamon Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural cinnamon extract; dalchini extract
Natural Coffee Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural coffee extract; coffee extract
Natural Cocoa Flavour,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural cocoa flavour; cocoa flavour (natural)
Tartrazine (Yellow 5),Food Colours,Risky,Medium,Negative,Processed,Approved,tartrazine; yellow 5; FD&C yellow 5; INS 102; E102
Sunset Yellow FCF,Food Colours,Risky,Medium,Negative,Processed,Approved,sunset yellow FCF; yellow 6; INS 110; E110
Caramel Colour,Food Colours,Moderate,,Neutral,Processed,Approved,caramel colour; caramel color; INS 150; E150
Curcumin (Natural Yellow),Food Colours,Very Safe,,Very Positive,Minimally Processed,Approved,curcumin; natural yellow; turmeric colour; INS 100; E100
Carmoisine (Red),Food Colours,Risky,Medium,Negative,Processed,Approved,carmoisine; azorubine; INS 122; E122
Erythrosine (Red),Food Colours,Risky,Medium,Negative,Processed,Approved,erythrosine; red 3; INS 127; E127
Ponceau 4R,Food Colours,Risky,Medium,Negative,Processed,Approved,ponceau 4R; cochineal red A; INS 124; E124
Brilliant Blue FCF,Food Colours,Risky,Low,Negative,Processed,Approved,brilliant blue FCF; blue 1; INS 133; E133
Indigo Carmine,Food Colours,Risky,Low,Negative,Processed,Approved,indigo carmine; blue 2; INS 132; E132
Beta-Carotene,Food Colours,Very Safe,,Positive,Processed,Approved,beta-carotene; provitamin A colour; INS 160a; E160a
Annatto Extract,Food Colours,Safe,,Neutral,Minimally Processed,Approved,annatto extract; annatto; INS 160b; E160b
Chlorophyll,Food Colours,Very Safe,,Neutral,Minimally Processed,Approved,chlorophyll; INS 140; E140
Anthocyanin,Food Colours,Very Safe,,Positive,Minimally Processed,Approved,anthocyanin; INS 163; E163
Riboflavin (Colour),Food Colours,Very Safe,,Positive,Processed,Approved,riboflavin; vitamin B2 colour; INS 101; E101
Titanium Dioxide,Food Colours,Risky,,Negative,Processed,Banned in Some Countries,titanium dioxide; INS 171; E171
Carbon Black (Vegetable Carbon),Food Colours,Moderate,,Neutral,Processed,Restricted,carbon black; vegetable carbon; INS 153; E153
Paprika Oleoresin,Food Colours,Safe,,Neutral,Minimally Processed,Approved,paprika oleoresin; paprika extract; INS 160c
Beet Red (Betanin),Food Colours,Safe,,Neutral,Minimally Processed,Approved,beet red; betanin; INS 162; E162
Copper Chlorophyllin,Food Colours,Safe,,Neutral,Processed,Approved,copper chlorophyllin; INS 141; E141
Quinoline Yellow,Food Colours,Risky,Medium,Negative,Processed,Approved,quinoline yellow; INS 104; E104
Vitamin A (Retinyl Palmitate),Vitamins,Safe,,Positive,Processed,Approved,vitamin A; retinyl palmitate; retinol
Vitamin D3 (Cholecalciferol),Vitamins,Safe,,Positive,Processed,Approved,vitamin D3; cholecalciferol
Folic Acid,Vitamins,Safe,,Positive,Processed,Approved,folic acid; vitamin B9; folate
Vitamin B12 (Cyanocobalamin),Vitamins,Safe,,Positive,Processed,Approved,vitamin B12; cyanocobalamin
Vitamin B1 (Thiamine),Vitamins,Safe,,Positive,Processed,Approved,vitamin B1; thiamine; thiamin
Vitamin B2 (Riboflavin),Vitamins,Safe,,Positive,Processed,Approved,vitamin B2; riboflavin
Vitamin B6 (Pyridoxine),Vitamins,Safe,,Positive,Processed,Approved,vitamin B6; pyridoxine
Vitamin B3 (Niacin),Vitamins,Safe,,Positive,Processed,Approved,vitamin B3; niacin; nicotinamide; niacinamide
Vitamin B5 (Pantothenic Acid),Vitamins,Safe,,Positive,Processed,Approved,vitamin B5; pantothenic acid; calcium pantothenate
Biotin,Vitamins,Safe,,Positive,Processed,Approved,biotin; vitamin B7; vitamin H
Vitamin K (Phylloquinone),Vitamins,Safe,,Positive,Processed,Approved,vitamin K; phylloquinone; vitamin K1
Calcium Ascorbate (Vitamin C),Vitamins,Safe,,Positive,Processed,Approved,calcium ascorbate; vitamin C (calcium salt)
Vitamin E (Tocopheryl Acetate),Vitamins,Safe,,Positive,Processed,Approved,vitamin E; tocopheryl acetate; alpha-tocopheryl acetate
Choline,Vitamins,Safe,,Positive,Processed,Approved,choline; choline bitartrate; choline chloride
Inositol,Vitamins,Safe,,Positive,Processed,Approved,inositol; vitamin B8
Ferrous Sulphate (Iron),Minerals,Safe,,Positive,Processed,Approved,ferrous sulphate; ferrous sulfate; iron sulfate; iron
Potassium Iodate (Iodine),Minerals,Safe,,Positive,Processed,Approved,potassium iodate; iodine
Calcium Carbonate,Minerals,Safe,,Positive,Processed,Approved,calcium carbonate; chalk; INS 170; E170
Zinc Oxide,Minerals,Safe,,Positive,Processed,Approved,zinc oxide
Zinc Sulphate,Minerals,Safe,,Positive,Processed,Approved,zinc sulphate; zinc sulfate
Magnesium Oxide,Minerals,Safe,,Positive,Processed,Approved,magnesium oxide; INS 530
Magnesium Sulphate,Minerals,Safe,,Positive,Processed,Approved,magnesium sulphate; magnesium sulfate; epsom salt
Manganese Sulphate,Minerals,Safe,,Positive,Processed,Approved,manganese sulphate; manganese sulfate
Copper Sulphate,Minerals,Safe,,Positive,Processed,Approved,copper sulphate; copper sulfate
Sodium Selenite (Selenium),Minerals,Safe,,Positive,Processed,Approved,sodium selenite; selenium
Chromium Chloride,Minerals,Safe,,Positive,Processed,Approved,chromium chloride
Potassium Chloride,Minerals,Safe,,Positive,Processed,Approved,potassium chloride; INS 508
Sodium Chloride (Salt),Minerals,Safe,,Positive,Processed,Approved,sodium chloride; salt; namak; table salt; नमक
Calcium Phosphate,Minerals,Safe,,Positive,Processed,Approved,calcium phosphate; INS 341
Ferric Pyrophosphate,Minerals,Safe,,Positive,Processed,Approved,ferric pyrophosphate; iron pyrophosphate
Calcium Citrate,Minerals,Safe,,Positive,Processed,Approved,calcium citrate; INS 333
Potassium Phosphate,Minerals,Safe,,Positive,Processed,Approved,potassium phosphate; INS 340
Sodium Molybdate (Molybdenum),Minerals,Safe,,Positive,Processed,Approved,sodium molybdate; molybdenum
Sodium Bicarbonate,Raising Agents,Safe,,Neutral,Processed,Approved,sodium bicarbonate; baking soda; bicarbonate of soda; sodium hydrogen carbonate; INS 500(ii); E500(ii); मीठा सोडा
Baking Powder,Raising Agents,Safe,,Neutral,Processed,Approved,baking powder; बेकिंग पाउडर
Ammonium Bicarbonate,Raising Agents,Safe,,Neutral,Processed,Approved,ammonium bicarbonate; baker's ammonia; INS 503(ii)
Monocalcium Phosphate,Raising Agents,Safe,,Neutral,Processed,Approved,monocalcium phosphate; INS 341(i)
Sodium Aluminium Phosphate,Raising Agents,Moderate,,Neutral,Processed,Approved with Limits,sodium aluminium phosphate; SALP; INS 541
Cream of Tartar,Raising Agents,Safe,,Neutral,Processed,Approved,cream of tartar; potassium bitartrate; INS 336
Glucono Delta-Lactone,Raising Agents,Safe,,Neutral,Processed,Approved,glucono delta-lactone; GDL; INS 575
Diammonium Phosphate,Raising Agents,Safe,,Neutral,Processed,Approved,diammonium phosphate; DAP; INS 342(ii)
Silicon Dioxide,Anti-Caking Agents,Safe,,Neutral,Processed,Approved,silicon dioxide; silica; INS 551; E551
Magnesium Carbonate,Anti-Caking Agents,Safe,,Neutral,Processed,Approved,magnesium carbonate; INS 504; E504
Calcium Silicate,Anti-Caking Agents,Safe,,Neutral,Processed,Approved,calcium silicate; INS 552; E552
Tricalcium Phosphate,Anti-Caking Agents,Safe,,Neutral,Processed,Approved,tricalcium phosphate; INS 341(iii); E341
Sodium Ferrocyanide,Anti-Caking Agents,Moderate,,Neutral,Processed,Approved with Limits,sodium ferrocyanide; INS 535; E535
Magnesium Stearate,Anti-Caking Agents,Safe,,Neutral,Processed,Approved,magnesium stearate; INS 470; E470
Potassium Ferrocyanide,Anti-Caking Agents,Moderate,,Neutral,Processed,Approved with Limits,potassium ferrocyanide; INS 536; E536
Sodium Aluminosilicate,Anti-Caking Agents,Safe,,Neutral,Processed,Approved,sodium aluminosilicate; INS 554; E554
Glycerol (Glycerin),Humectants,Safe,,Neutral,Processed,Approved,glycerol; glycerin; glycerine; INS 422; E422
Sorbitol (Humectant),Humectants,Safe,,Neutral,Processed,Approved,sorbitol; INS 420; E420
Propylene Glycol,Humectants,Moderate,,Negative,Processed,Approved,propylene glycol; INS 1520
Polydextrose,Humectants,Safe,,Neutral,Processed,Approved,polydextrose; INS 1200
Lactitol,Humectants,Safe,,Neutral,Processed,Approved,lactitol; INS 966
Triacetin,Humectants,Safe,,Neutral,Processed,Approved,triacetin; glyceryl triacetate; INS 1518
Isomalt,Humectants,Safe,,Neutral,Processed,Approved,isomalt; INS 953
Hexylene Glycol,Humectants,Moderate,,Neutral,Processed,Approved,hexylene glycol
Beeswax,Glazing Agents,Safe,,Neutral,Minimally Processed,Approved,beeswax; INS 901; E901
Shellac,Glazing Agents,Safe,,Neutral,Minimally Processed,Approved,shellac; INS 904; E904
Carnauba Wax,Glazing Agents,Safe,,Neutral,Minimally Processed,Approved,carnauba wax; INS 903; E903
Candelilla Wax,Glazing Agents,Safe,,Neutral,Minimally Processed,Approved,candelilla wax; INS 902; E902
Mineral Oil (Food Grade),Glazing Agents,Moderate,,Neutral,Minimally Processed,Approved with Limits,mineral oil; food grade mineral oil; white mineral oil
Paraffin Wax,Glazing Agents,Moderate,,Neutral,Minimally Processed,Approved with Limits,paraffin wax; INS 905
Agar-Agar,Gelling Agents,Safe,,Neutral,Processed,Approved,agar-agar; agar; china grass; INS 406; E406
Gelatin,Gelling Agents,Safe,Low,Neutral,Processed,Approved,gelatin; gelatine
Fish Gelatin,Gelling Agents,Safe,High,Neutral,Processed,Approved,fish gelatin
Low Methoxyl Pectin,Gelling Agents,Safe,,Neutral,Processed,Approved,low methoxyl pectin; LM pectin; INS 440
Kappa Carrageenan,Gelling Agents,Safe,,Neutral,Processed,Approved,kappa carrageenan; INS 407
Clarified Gellan Gum,Gelling Agents,Safe,,Neutral,Processed,Approved,clarified gellan gum; INS 418
Isinglass,Gelling Agents,Safe,High,Neutral,Processed,Approved,isinglass
Methylcellulose Gel,Gelling Agents,Safe,,Neutral,Processed,Approved,methylcellulose gel; methyl cellulose gel
Papain,Enzymes,Safe,Low,Neutral,Processed,Approved,papain; papaya enzyme
Amylase,Enzymes,Safe,Low,Neutral,Processed,Approved,amylase; diastase
Rennet,Enzymes,Safe,Low,Neutral,Processed,Approved,rennet; rennin
Bromelain,Enzymes,Safe,Low,Neutral,Processed,Approved,bromelain; pineapple enzyme
Lactase,Enzymes,Safe,Low,Neutral,Processed,Approved,lactase
Invertase,Enzymes,Safe,Low,Neutral,Processed,Approved,invertase
Protease,Enzymes,Safe,Low,Neutral,Processed,Approved,protease; proteolytic enzyme
Lipase,Enzymes,Safe,Low,Neutral,Processed,Approved,lipase
Pectinase,Enzymes,Safe,Low,Neutral,Processed,Approved,pectinase
Catalase,Enzymes,Safe,Low,Neutral,Processed,Approved,catalase
Activated Carbon,Processing Aids,Safe,,Neutral,Highly Processed,Approved with Limits,activated carbon; activated charcoal
Calcium Chloride,Processing Aids,Moderate,,Neutral,Highly Processed,Approved with Limits,calcium chloride; INS 509; E509
Diatomaceous Earth,Processing Aids,Moderate,,Neutral,Highly Processed,Approved with Limits,diatomaceous earth; kieselguhr
Bentonite Clay,Processing Aids,Moderate,,Neutral,Highly Processed,Approved with Limits,bentonite clay; bentonite
Silica Gel (Processing Aid),Processing Aids,Moderate,,Neutral,Highly Processed,Approved with Limits,silica gel
Ion Exchange Resin,Processing Aids,Moderate,,Neutral,Highly Processed,Approved with Limits,ion exchange resin
Hydrochloric Acid (Processing),Processing Aids,Moderate,,Neutral,Highly Processed,Approved with Limits,hydrochloric acid; muriatic acid; INS 507
Sodium Hydroxide (Processing),Processing Aids,Moderate,,Neutral,Highly Processed,Approved with Limits,sodium hydroxide; caustic soda; lye; INS 524
Nitrogen,Packaging Gas Ingredients,Very Safe,,Neutral,Processed,Approved,nitrogen; INS 941; E941
Carbon Dioxide,Packaging Gas Ingredients,Very Safe,,Neutral,Processed,Approved,carbon dioxide; CO2; INS 290; E290
Oxygen,Packaging Gas Ingredients,Very Safe,,Neutral,Processed,Approved,oxygen; INS 948; E948
Argon,Packaging Gas Ingredients,Very Safe,,Neutral,Processed,Approved,argon; INS 938; E938
Nitrous Oxide,Packaging Gas Ingredients,Very Safe,,Neutral,Processed,Approved,nitrous oxide; INS 942; E942
